B01003_001E,county,state,tract
3948.0,005,36,022101
5293.0,005,36,022102
3308.0,005,36,022200
5177.0,005,36,022300
2807.0,005,36,022401
3589.0,005,36,022403
4265.0,005,36,022404
8440.0,005,36,022500
5733.0,005,36,022701
1446.0,005,36,022702
1775.0,005,36,022703
5912.0,005,36,022800
5650.0,005,36,022901
3304.0,005,36,022902
2945.0,005,36,023000
1650.0,005,36,023100
2702.0,005,36,023200
4185.0,005,36,023301
3601.0,005,36,023302
3225.0,005,36,023501
4624.0,005,36,023502
2268.0,005,36,023600
1222.0,005,36,023702
5766.0,005,36,023703
4142.0,005,36,023704
2523.0,005,36,023800
7931.0,005,36,023900
3647.0,005,36,024000
5963.0,005,36,024100
5613.0,005,36,024300
2318.0,005,36,024400
5444.0,005,36,024501
3962.0,005,36,024502
2342.0,005,36,024600
1919.0,005,36,024700
3075.0,005,36,024800
0.0,005,36,024900
2723.0,005,36,025000
6578.0,005,36,025100
2702.0,005,36,025200
5925.0,005,36,025300
2020.0,005,36,025400
5929.0,005,36,025500
1756.0,005,36,025600
1875.0,005,36,025700
1995.0,005,36,026100
5867.0,005,36,026300
5517.0,005,36,026400
7827.0,005,36,026500
3088.0,005,36,026601
5430.0,005,36,026602
3944.0,005,36,026701
7146.0,005,36,026702
3751.0,005,36,026900
8181.0,005,36,027300
4521.0,005,36,027401
3578.0,005,36,027402
59.0,005,36,027600
5633.0,005,36,027700
7012.0,005,36,027900
4046.0,005,36,028100
3331.0,005,36,028300
687.0,005,36,028400
3284.0,005,36,028500
1190.0,005,36,028600
3174.0,005,36,028700
3564.0,005,36,028800
4545.0,005,36,028900
1852.0,005,36,029301
5325.0,005,36,029302
5103.0,005,36,029500
1670.0,005,36,029600
3585.0,005,36,029700
5521.0,005,36,030000
1309.0,005,36,030100
9875.0,005,36,030200
5296.0,005,36,030701
3775.0,005,36,030900
4919.0,005,36,031000
1676.0,005,36,031200
2193.0,005,36,031400
1829.0,005,36,031600
2023.0,005,36,031800
654.0,005,36,031900
4430.0,005,36,032300
2779.0,005,36,032400
3453.0,005,36,032600
4233.0,005,36,032800
5750.0,005,36,033000
4340.0,005,36,033201
4409.0,005,36,033202
1468.0,005,36,033400
2072.0,005,36,033500
6821.0,005,36,033600
2314.0,005,36,033700
4404.0,005,36,033800
4859.0,005,36,034000
2032.0,005,36,034200
1624.0,005,36,034300
2299.0,005,36,034400
3389.0,005,36,034500
6976.0,005,36,034800
1847.0,005,36,035000
3591.0,005,36,035100
2317.0,005,36,035600
7068.0,005,36,035800
2035.0,005,36,035900
3203.0,005,36,036000
6028.0,005,36,036100
7836.0,005,36,036300
2550.0,005,36,036400
3801.0,005,36,036501
2077.0,005,36,036502
2724.0,005,36,036700
