rsid,bbl,tid,longi,lat,street,inaddress,type1,type2,outadd,tigerlineid
10487,3051220044,36047014300,-73.99104,40.662655,L,"255 E 18TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"255 18TH ST, BROOKLYN, NY, 11215",59075757
10488,3051220056,36047014300,-73.9924,40.663475,L,"221 E 18TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"221 18TH ST, BROOKLYN, NY, 11215",642653522
10489,3051220062,36047014300,-73.993195,40.663956,L,"201 E 18TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"201 18TH ST, BROOKLYN, NY, 11215",642653522
10490,3051220066,36047014300,-73.99367,40.66424,L,"189 E 18TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"189 18TH ST, BROOKLYN, NY, 11215",642653522
10491,3051230001,36047051001,-73.96158,40.64712,R,"1900 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"1900 ALBEMARLE RD, BROOKLYN, NY, 11226",59080988
10492,3051230016,36047051001,-73.96034,40.646523,R,"666 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"666 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10493,3051230019,36047051001,-73.96032,40.646408,R,"672 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"672 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10494,3051230019,36047051001,-73.96033,40.646446,R,"670 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"670 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10495,3051230022,36047051001,-73.96028,40.646217,R,"682 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"682 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10496,3051230025,36047051001,-73.96018,40.64572,R,"700 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"700 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10497,3051230031,36047051001,-73.96015,40.645523,R,"708 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"708 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10498,3051230031,36047051001,-73.96011,40.645325,R,"716 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"716 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10499,3051230038,36047051001,-73.96007,40.645077,R,"726 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"726 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10500,3051230005,36047051001,-73.960396,40.646824,R,"650 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"650 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10501,3051230051,36047051001,-73.9613,40.64521,L,"183 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"183 E 19TH ST, BROOKLYN, NY, 11226",59080972
10502,3051230051,36047014300,-73.99508,40.66418,L,"151 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"151 19TH ST, BROOKLYN, NY, 11232",59075517
10503,3051230062,36047014300,-73.995346,40.664337,L,"141 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"141 19TH ST, BROOKLYN, NY, 11232",59075517
10504,3051230068,36047014300,-73.995605,40.664494,L,"131 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"131 19TH ST, BROOKLYN, NY, 11232",59075517
10505,3051230068,36047014300,-73.995926,40.66468,L,"119 E 19TH ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"119 19TH ST, BROOKLYN, NY, 11232",59075517
10506,3051240001,36047051001,-73.96044,40.64713,L,"645 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"645 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10507,3051240012,36047014700,-73.990585,40.65963,R,"324 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"324 21ST ST, BROOKLYN, NY, 11215",59075773
10508,3051240012,36047014700,-73.990814,40.65977,R,"312 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"312 21ST ST, BROOKLYN, NY, 11215",59075773
10509,3051240018,36047051001,-73.959915,40.645897,L,"2025 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2025 REGENT PL, BROOKLYN, NY, 11226",59081022
10510,3051240018,36047051001,-73.960014,40.645863,L,"2013 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2013 REGENT PL, BROOKLYN, NY, 11226",59081022
10511,3051240026,36047051001,-73.96025,40.646137,L,"681 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"681 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10512,3051240033,36047051001,-73.96033,40.646523,L,"667 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"667 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10513,3051240035,36047051001,-73.960365,40.646744,L,"659 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"659 OCEAN AVE, BROOKLYN, NY, 11226",59080989
10514,3051240040,36047051001,-73.96013,40.64551,L,"699 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"699 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10515,3051240040,36047051001,-73.960075,40.645195,L,"711 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"711 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10516,3051240040,36047051001,-73.96008,40.64525,L,"709 OCEAN AVE,, BROOKLYN,, NY,, 11226",Match,Exact,"709 OCEAN AVE, BROOKLYN, NY, 11226",59081017
10517,3051240045,36047051001,-73.95998,40.645866,R,"2016 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2016 REGENT PL, BROOKLYN, NY, 11226",59081022
10518,3051240005,36047051001,-73.96024,40.647266,R,"2016 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2016 ALBEMARLE RD, BROOKLYN, NY, 11226",59080995
10519,3051240051,36047014700,-73.990005,40.659283,R,"354 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"354 21ST ST, BROOKLYN, NY, 11215",59075773
10520,3051240007,36047051001,-73.96021,40.64727,R,"2020 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2020 ALBEMARLE RD, BROOKLYN, NY, 11226",59080995
10521,3051250045,36047051001,-73.95909,40.646164,R,"2102 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2102 REGENT PL, BROOKLYN, NY, 11226",59081026
10522,3051250047,36047051001,-73.95904,40.646183,R,"2108 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2108 REGENT PL, BROOKLYN, NY, 11226",59081026
10523,3051250048,36047051001,-73.959,40.646194,R,"2112 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2112 REGENT PL, BROOKLYN, NY, 11226",59081026
10524,3051250049,36047051001,-73.95896,40.64621,R,"2116 REGENT PL,, BROOKLYN,, NY,, 11226",Match,Exact,"2116 REGENT PL, BROOKLYN, NY, 11226",59081026
10525,3051250006,36047051001,-73.959,40.647404,R,"2114 ALBEMARLE RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2114 ALBEMARLE RD, BROOKLYN, NY, 11226",59080998
10526,3051250074,36047051001,-73.9587,40.645004,L,"2107 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2107 BEVERLEY RD, BROOKLYN, NY, 11226",59081028
10527,3051250077,36047051001,-73.95891,40.64498,L,"2101 BEVERLEY RD,, BROOKLYN,, NY,, 11226",Match,Exact,"2101 BEVERLEY RD, BROOKLYN, NY, 11226",59081028
10528,3051250077,36047014700,-73.989685,40.659103,L,"371 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"371 21ST ST, BROOKLYN, NY, 11215",59075773
10529,3051250079,36047014700,-73.98972,40.659126,L,"369 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"369 21ST ST, BROOKLYN, NY, 11215",59075773
10530,3051250080,36047014700,-73.9898,40.659176,L,"365 E 21ST ST,, BROOKLYN,, NY,, 11226",Match,Non_Exact,"365 21ST ST, BROOKLYN, NY, 11215",59075773
